Label,Value
11264,71.6196
10752,192.898
11520,286.295
11008,486.673
11392,426.784
10880,270.291
11904,671.978
11136,1062.28
11328,524.329
10816,435.555
11840,450.956
11584,1228.48
11072,208.13
11456,430.821
10944,313.408
11968,144.812
11712,1620.24
11200,167.726
11296,270.008
11808,535.124
11040,606.207
11424,347.513
10912,96.8665
11168,192.362
11360,518.75
10848,285.078
11872,463.803
11616,169.152
11104,967.717
11488,358.275
10976,1840
11744,276.286
11232,267.897
11280,160.966
10768,228.066
11792,405.684
11408,798.73
10896,154.085
11920,456.965
11664,827.121
11152,1261.21
11344,327.698
10832,544.207
11856,405.506
11600,786.088
11088,194.685
11472,197.51
10960,361.444
11984,784.698
11728,1662.21
11216,153.668
11312,333.083
10800,240.114
11824,1044.59
11568,1348.84
11056,258.5
11440,230.753
10928,85.2164
11952,1052.47
11184,315.71
11376,323.303
10864,339.631
11888,230.62
11120,681.681
11504,307.106
10992,661.494
11760,983.478
11248,88.5045
11272,272.722
10760,168.881
11784,366.209
11528,410.984
11016,368.029
11400,684.28
10888,239.08
11912,320.434
11656,1004.45
11144,243.871
11336,283.636
10824,266.251
11848,104.009
11080,418.822
11464,695.773
10952,594.286
11976,963.179
11720,1321.14
11208,275.249
11304,181.227
10792,248.376
11816,505.278
11560,905.422
11048,661.48
11432,149.836
10920,105.963
11944,1312.39
11176,262.452
11368,86.098
10856,529.857
11880,293.557
11624,353.706
11112,123.463
11496,307.89
10984,931.749
11752,570.145
11240,330.526
11288,147.479
10776,188.916
11032,498.754
11416,471.055
10904,320.929
11928,275.083
11672,1010.31
11160,781.729
10840,388.954
11864,383.022
11608,449.162
11480,417.188
11736,1393.71
11224,106.827
11320,202.959
10808,207.297
11832,436.833
11576,431.466
11064,325.289
11448,515.43
10936,279.008
11960,1172.69
11704,854.383
11192,243.783
11384,506.679
10872,162.62
11896,7.86328
11640,394.564
11128,807.254
11512,266.685
11000,339.704
11768,286.569
11256,219.002
11268,954.362
11780,638.257
11524,603.717
11012,324.74
11396,709.245
10884,675.751
11908,253.663
11652,262.477
11140,1240.74
11332,306.076
10820,136.463
11844,411.254
11588,834.127
11076,480.954
11460,317.941
10948,601.398
11204,150.731
11300,296.176
10788,556.21
11812,686.468
11556,1002.13
11044,1196.17
11428,472.593
10916,108.798
11940,891.085
11172,190.594
11364,189.108
10852,188.036
11876,294.052
11620,425.823
11108,932.77
11492,276.771
10980,1709.88
11236,390.503
11284,211.396
10772,165.904
11796,723.324
11028,167.283
10900,311.514
11924,100.905
11668,452.527
11348,358.268
10836,273.007
11860,380.772
11092,87.4705
11476,317.763
10964,1057.62
11988,794.697
11732,444.062
11220,599.324
11316,397.038
10804,419.321
11828,365.149
11572,269.416
11060,115.672
11444,414.508
10932,289.823
11956,789.6
11700,544.179
11188,178.1
11380,518.118
10868,171.474
11892,312.873
11636,454.64
11124,972.691
11508,360.154
10996,620.932
11764,1022.18
11252,386.936
11276,407.094
10764,420.629
11788,648.52
11532,285.85
11020,418.772
10892,512.088
11660,1614.09
11148,1274.83
11340,275.284
10828,271.447
11852,522.656
11596,723.088
11084,689.295
11468,300.313
10956,1462.52
11980,1265.4
11724,1856.03
11212,229.702
11308,292.625
10796,805.741
11820,749.468
11564,230.262
11052,604.019
11436,158.767
10924,299.027
11180,179.929
11372,277.756
10860,391.303
11884,325.07
11628,978.885
11116,118.737
11500,238.144
11756,1061.61
11244,82.6082
11292,176.613
11804,753.728
11548,592.522
11420,233.238
10908,285.281
11932,385.736
11164,278.881
11356,95.4823
10844,157.59
11868,604.206
11612,181.449
11100,328.495
11484,481.821
10972,470.157
11740,770.493
11228,423.638
11324,289.883
10812,890.537
11836,1284.77
11580,400.304
11068,317.594
11452,416.306
10940,50.0555
11964,1480.32
11708,655.117
11196,262.8
11388,324.932
10876,502.01
11900,343.958
11644,278.683
11132,1100.93
11516,395.972
11004,761.074
11260,200.198
11266,83.1557
10754,399.68
11522,734.968
11010,205.915
11394,522.133
10882,331.229
11906,635.397
11138,735.824
11330,276.562
10818,412.571
11842,346.205
11586,1943.51
11074,324.733
11458,502.836
10946,172.03
11714,645.412
11202,174.389
11298,161.475
10786,807.747
11810,764.444
11554,2269.66
11042,732.455
11426,601.444
10914,226.605
11938,1614.35
11682,1173.58
11170,122.786
11362,144.98
10850,218.987
11874,326.706
11618,246.351
11106,829.812
11490,244.389
10978,531.685
11746,1760.04
11234,278.421
11282,213.406
10770,335.335
11794,821.11
11026,242.732
11410,1035.06
11922,571.646
11666,336.172
11154,480.818
11346,390.567
10834,525.212
11858,367.437
11602,463.086
11090,54.8152
11474,244.172
10962,1743.95
11986,566.749
11730,1583.86
11218,149.116
11314,318.758
10802,261.918
11826,1238.36
11570,195.333
11058,358.845
11442,181.603
10930,309.855
11954,686.776
11698,864.076
11186,313.314
11378,237.891
10866,300.859
11890,304.942
11634,578.049
11122,806.873
11506,292.285
10994,517.193
11762,1281.1
11250,147.25
11274,593.129
10762,434.012
11786,624.913
11530,517.835
11018,334.825
11402,621.443
10890,276.963
11914,320.913
11658,168.632
11146,2263.01
11338,173.042
10826,443.16
11850,204.784
11082,607.935
11466,413.082
10954,1514.11
11722,377.582
11210,107.422
11306,298.265
10794,582.049
11818,266.242
11562,227.072
11050,442.835
11434,160.405
10922,214.1
11946,1212.16
11178,198.313
11370,297.076
10858,287.33
11882,469.106
11626,455.773
11498,217.882
10986,528.116
11754,1822.03
11242,131.653
11290,232.838
10778,475.137
11802,1185.66
11034,581.669
11418,494.845
10906,273.745
11930,440.652
11674,642.159
11162,751.517
11354,445.59
10842,461.434
11866,235.577
11610,585.522
11098,127.137
11482,353.764
10970,127.222
11738,836.124
11226,78.7672
11322,443.195
11834,770.517
11578,415.691
11066,239.432
11450,756.816
10938,246.18
11706,1152.59
11194,227.778
11386,315.845
11898,473.527
11642,2332.19
11130,709.402
11514,256.04
11002,348.451
11770,745.491
11258,119.761
11270,95.4903
10758,455.94
11782,152.265
11526,694.071
11014,279.136
11398,457.049
10886,174.526
11910,474.589
11654,1476.01
11142,401.638
11334,281.391
10822,585.2
11846,361.326
11590,821.628
11078,301.856
11462,201.074
10950,325.648
11974,1502.32
11718,2199.84
11206,217.074
11302,266.91
10790,404.029
11814,965.163
11558,2710.49
11046,561.852
11430,216.678
10918,259.003
11942,2464
11174,215.148
11366,337.977
10854,321.355
11878,87.9713
11622,661.373
11110,2417.69
11494,183.182
10982,1794.97
11750,778.046
11238,329.51
11286,147.066
10774,207.32
11542,1095.53
11030,291.925
11414,88.5715
10902,82.764
11926,237.461
11670,1057.89
11158,672.721
11350,388.264
10838,380.383
11862,276.884
11606,686.804
11094,749.662
11478,52.604
10966,1315.18
11734,417.747
11318,238.466
10806,203.087
11830,903.433
11574,484.407
11062,121.161
11446,417.449
10934,220.907
11702,333.252
11190,123.633
11382,775.583
10870,251.09
11894,367.053
11638,472.715
11126,287.11
11510,216.567
10998,240.528
11766,891.356
11254,607.278
11278,187.125
10766,448.555
11790,1321.47
11534,930.752
11022,127.893
11406,431.954
10894,176.65
11918,456.145
11662,1815.42
11150,1726.2
11342,196.207
10830,519.924
11854,454.367
11598,921.646
11086,1051.2
11470,257.463
10958,1272.97
11982,1968.24
11726,846.311
11214,173.909
11310,70.8902
10798,377.045
11822,1127.27
11566,364.254
11054,191.096
11438,223.8
10926,207.945
