Label,Value
7168,809.131
7680,417.698
7424,425.405
7936,318.594
7296,206.646
7808,407.497
7552,245.951
7040,254.319
8064,157.719
7232,211.714
7744,173.285
7488,647.148
8000,578.021
7360,785.424
7872,234.117
7616,144.049
7104,512.716
7200,146.71
7712,172.386
7456,784.479
7968,355.51
7328,318.273
7840,257.641
7072,207.578
8096,225.105
7264,261.593
7776,208.484
7520,209.874
8032,189.818
7392,335.596
7904,211.693
7648,344.569
7136,641.433
7184,472.455
7696,288.458
7440,330.225
7952,292.745
7312,152.099
7824,322.395
7568,193.063
7056,222.891
8080,694.452
7248,244.633
7760,143.169
7504,66.6206
8016,358.286
7888,488.625
7632,175.746
7120,770.167
7216,157.847
7728,148.118
7472,445.614
7984,672.148
7344,255.191
7856,700.284
7600,154.835
7088,171.964
8112,258.595
7280,132.466
7792,259.433
7536,152.045
8048,137.994
7920,345.883
7664,395.157
7152,977.781
7176,468.241
7688,181.025
7432,316.313
7944,222.19
7304,91.0236
7816,212.44
7560,142.616
7048,550.54
8072,362.609
7240,237.57
7752,120.505
7496,363.419
8008,423.967
7368,546.564
7880,593.047
7624,176.461
7112,183.253
7208,168.565
7720,183.813
7464,140.224
7976,1084.13
7336,138.931
7848,432.657
7592,105.73
7080,475.56
8104,287.775
7272,223.656
7784,263.065
7528,128.868
8040,177.393
7400,262.008
7656,248.641
7144,906.302
7192,307.989
7704,212.633
7448,154.239
7960,272.395
7320,269.854
7832,431.801
7576,296.658
8088,193.42
7256,349.213
7768,215.289
7512,194.764
8024,218.137
7896,837.632
7128,674.049
7224,142.742
7736,156.542
7480,106.38
7992,635.912
7352,187.335
7864,730.835
7608,300.111
7096,701.386
8120,595.079
7288,139.681
7800,419.688
7544,385.336
8056,231.594
7416,126.371
7672,440.888
7160,486.799
7172,283.348
7684,228.442
7940,370.923
7300,255.522
7812,337.514
7556,214.728
7044,214.38
8068,247.016
7236,234.774
7748,190.559
7492,205.117
8004,590.837
7364,345.851
7876,198.797
7620,178.617
7108,474.887
7204,234.86
7716,606.124
7460,590.272
7972,264.099
7588,56.0598
7076,635.142
8100,84.9557
7268,320.256
7780,132.926
7524,348.028
8036,320.574
7396,562.159
7908,972.029
7652,307.856
7140,736.912
7188,324.848
7700,202.211
7444,298.05
7316,255.99
7828,331.87
7572,136.642
7060,209.874
8084,242.172
7252,434.998
7764,148.083
7508,441.337
7380,598.534
7892,500.371
7636,131.818
7124,708.935
7220,262.038
7732,256.666
7476,251.915
7988,396.824
7348,398.239
7860,526.981
7604,268.277
7092,240.829
8116,376.745
7284,245.13
7796,247.778
7540,334.748
8052,324.183
7412,470.781
7924,395.067
7668,412.834
7156,717.529
7180,224.991
7692,253.267
7436,162.6
7948,228.78
7308,105.696
7820,323.198
7564,201.374
7052,343.092
8076,216.157
7244,217.968
7756,202.499
7500,321.898
7372,763.735
7884,781.247
7628,205.22
7116,183.057
7212,191.456
7724,210.766
7468,637.236
7980,92.5012
7340,106.076
7852,112.687
7596,103.481
7084,149.26
8108,534.88
7276,254.877
7788,200.878
7532,158.448
8044,98.1218
7404,407.715
7916,224.613
7660,532.863
7148,774.662
7196,145.858
7708,179.692
7452,367.7
