Label,Value
2432,207.701
2624,223.981
2368,269.388
2496,74.0438
2336,194.25
2464,158.403
2144,292.668
2400,322.46
2528,95.4113
2064,195.259
2576,193.635
2448,182.893
2128,222.432
2384,115.128
2256,70.8742
2512,103.453
2608,109.536
2352,139.515
2480,87.5609
2288,149.702
2544,70.7856
2568,117.332
2312,273.336
2440,293.002
2248,158.86
2088,297.276
2600,166.728
2472,92.5015
2152,206.116
2408,163.001
2536,130.215
2072,339.901
2584,197.621
2200,207.028
2136,245.384
2616,111.581
2232,179.592
2296,221.748
2552,169.98
2564,150.083
2308,216.52
2436,271.165
2372,157.463
2244,130.634
2500,159.341
2596,262.595
2468,171.452
2148,221.628
2532,244.715
2068,157.081
2324,235.145
2196,100.188
2132,2.20837
2388,166.958
2516,114.283
2100,147.887
2612,73.11
2356,157.969
2228,117.244
2164,398.594
2292,220.928
2188,323.738
2444,417.268
2124,109.283
2508,102.391
2604,298.802
2348,130.081
2220,152.105
2476,286.122
2412,136.065
2540,160.562
2076,187.285
2588,180.406
2460,110.53
2268,113.132
2620,245.116
2364,146.343
2492,185.415
2428,294.086
2300,243.854
2556,230.024
2306,217.656
2178,242.477
2434,198.768
2626,110.037
2242,208.172
2498,284.053
2082,258.763
2210,309.569
2466,180.292
2402,431.217
2530,389.335
2066,164.446
2578,189.667
2322,293.345
2450,137.561
2514,191.068
2354,214.154
2482,176.659
2418,150.242
2546,197.06
2058,226.483
2570,65.9303
2314,97.6518
2442,214.984
2122,232.533
2506,95.3539
2602,127.269
2346,236.211
2474,305.162
2458,141.654
2394,167.56
2522,131.291
2618,168.654
2362,269.899
2234,250.913
2170,212.5
2298,262.102
2554,79.7263
2054,168.029
2310,280.054
2182,167.97
2438,272.978
2118,168.653
2374,99.3657
2598,228.455
2342,59.8765
2470,130.75
2582,142.39
2326,178.311
2198,98.4366
2390,292.367
2518,148.517
2230,191.006
2486,141.776
2422,115.172
2550,220.436
2062,165.581
2574,355.919
2318,89.4754
2446,194.068
2382,305.673
2094,194.736
2606,233.732
2350,153.407
2222,349.032
2478,91.1517
2158,144.895
2414,135.453
2286,110.812
2542,154.327
2078,278.55
2590,162.088
2334,248.386
2462,187.583
2398,181.95
2270,201.959
2622,37.2592
2494,211.951
2430,109.043
2558,215.918
2561,109.037
2433,129.227
2113,250.894
2625,164.913
2369,243.564
2497,191.073
2081,140.751
2593,419.61
2209,311.446
2465,127.713
2529,290.356
2065,185.822
2385,119.596
2609,207.087
2353,166.809
2161,142.613
2417,104.959
2289,263.743
2545,150.277
2569,16.5816
2441,117.625
2377,218.946
2089,207.013
2345,261.113
2217,282.791
2153,159.716
2409,193.675
2537,199.124
2073,183.942
2585,173.192
2393,128.125
2521,115.74
2105,165.337
2617,222.207
2489,411.234
2169,191.423
2297,106.79
2565,178.541
2181,219.475
2437,264.539
2117,228.159
2373,172.286
2501,202.314
2597,152.821
2341,136.865
2213,257.611
2149,280.29
2405,109.387
2533,106.996
2069,154.107
2581,179.031
2325,245.823
2133,153.079
2517,98.9209
2613,154.598
2293,144.149
2549,227.981
2573,344.771
2317,196.477
2445,175.048
2125,85.6698
2253,329.216
2509,149.548
2093,104.632
2605,116.514
2221,115.404
2477,110.451
2157,228.426
2413,209.225
2541,168.139
2077,289.776
2589,257.259
2205,117.231
2461,214.864
2621,293.631
2365,233.784
2237,217.389
2173,217.895
2429,211.281
2557,192.502
2179,124.244
2435,189.726
2627,220.007
2371,419.358
2499,210.769
2083,277.958
2595,175.975
2339,240.472
2211,205.941
2467,151.731
2275,175.659
2531,136.859
2067,264.938
2451,131.942
2515,65.3033
2611,195.99
2355,157.998
2227,154.28
2547,115.056
2059,5.03513
2571,190.309
2315,301.467
2187,161.586
2443,74.0019
2379,297.164
2507,232.154
2603,160.568
2219,257.059
2283,248.099
2075,105.678
2203,158.152
2459,180.771
2395,269.73
2523,176.407
2619,126.298
2363,218.745
2235,288.62
2491,227.953
2171,357.154
2055,182.389
2567,114.347
2311,199.742
2183,215.548
2439,201.192
2119,348.296
2375,268.648
2503,188.75
2087,126.167
2599,120.16
2151,151.762
2535,283.141
2583,185.276
2135,193.122
2103,157.951
2359,146.348
2167,103.019
2423,187.129
2551,135.514
2063,199.21
2447,222.741
2095,218.388
2223,116.533
2159,385.987
2415,194.541
2543,166.547
2335,150.419
2207,189.246
2143,223.429
2271,251.901
2111,241.632
2623,155.272
2367,166.833
2239,48.4054
2495,77.903
2431,137.787
2559,201.055
