Label,Value
27648,293.866
29184,140.976
27904,130.338
28800,378.509
28544,43.5273
28992,333.051
27456,611.643
28864,113.067
27328,347.155
28352,202.425
27072,208.476
28608,231.67
28704,344.399
27680,309.382
27168,268.274
28192,348.683
28960,273.055
28832,406.671
27296,488.221
28064,369.041
28576,399.86
28768,125.319
27232,121.651
29024,160.611
28896,132.406
28384,120.576
29152,529.386
27104,1206.59
28128,77.1226
27616,412.856
28688,310.349
27664,391.209
29200,241.205
27920,342.373
28432,124.995
28816,296.338
27792,92.3554
27280,279.324
28304,192.585
29072,322.485
28560,80.7473
28752,875.569
27472,4.46346
28496,221.934
27856,170.943
29136,156.982
28112,223.056
28624,953.582
27696,227.024
29232,127.288
28976,260.301
27440,486.082
28464,240.478
28848,331.164
27312,328.803
28336,80.1212
29104,443.768
28080,44.8235
28592,57.4443
27248,416.692
28528,100.62
28912,1554.2
27376,109.25
28400,345.082
29168,571.455
27632,239.262
28656,1156.04
28680,740.984
27656,116.556
29192,119.678
28936,310.251
27912,84.1414
28424,195.281
28808,488.417
27784,114.772
27272,241.399
27528,58.5456
27720,178.427
27976,121.527
28872,328.775
27336,490.838
29128,125.262
28104,145.955
27688,488.561
29224,75.8867
28968,1026.17
27944,171.314
28840,861.768
27816,162.863
29096,387.628
27560,167.277
27752,396.685
28520,159.119
28904,305.277
28392,414.676
27112,509.462
28136,283.765
29208,168.18
27160,362.321
28952,215.267
28824,92.8983
28312,79.0143
28056,274.616
27544,231.459
28760,614.999
28248,112.005
29016,466.668
27992,300.119
28504,202.785
28888,399.345
27096,402.039
28120,144.188
28632,693.542
29240,308.596
28984,52.7012
27960,436.082
28472,452.724
28856,246.591
27576,370.032
28600,293.063
28792,149.175
27768,199.211
29048,354.427
27512,199.769
28536,161.79
27384,352.59
29176,183.63
29188,72.3321
28932,1167.48
27396,434.261
27268,444.528
29060,111.218
28740,66.9
27716,156.382
28996,36.8036
28484,245.024
28868,520.942
28356,795.447
27588,117.968
28612,220.83
29220,186.417
28964,1152.43
28836,148.604
27300,358.823
29092,525.892
28580,294.991
28772,257.413
29028,40.3294
27492,410.706
27364,1017.09
29156,228.143
28132,363.531
29204,92.1716
28180,286.858
27924,242.094
27412,260.669
27796,687.187
29076,702.622
27540,445.683
27220,237.808
28884,337.648
28372,134.387
29140,198.981
28116,120.08
28628,305.427
28724,254.793
29236,72.6681
28980,126.131
29108,150.366
28788,158.625
27764,134.226
29044,159.352
28020,64.0679
28532,876.382
28916,86.3896
27892,219.768
27380,140.334
29172,213.759
28684,249.206
29196,134.58
27148,144.901
28172,182.345
27916,326.321
28812,102.468
27788,127.886
29068,968.43
28044,180.273
27532,341.917
27212,222.506
28236,235.003
27980,187.343
28876,485.767
27852,367.217
27340,325.112
29132,107.199
28620,1978.22
28716,286.166
27692,97.1684
29228,189.6
28204,800.988
28844,600.679
29100,158.602
27564,312.723
28780,59.0685
29036,783.819
27500,276.333
28396,237.274
29164,385.307
27116,527.774
28700,100.94
27676,802.076
29212,150.436
27164,144.373
28956,126.838
28828,683.867
27292,197.757
28316,210.423
29084,58.774
27548,348.142
28764,312.835
28892,553.271
29148,411.468
28124,487.696
28732,684.771
27452,216.143
28860,106.368
27324,27.0448
28348,229.468
29116,170.364
27068,632.351
27580,193.269
27772,253.185
28284,404.928
29052,142.415
27516,60.1373
29180,201.74
27644,197.699
28668,170.211
27650,195.183
29186,140.937
27138,363.074
27906,146.277
27394,159.907
28802,160.796
27266,693.032
27522,621.038
27202,283.375
28994,109.439
28482,306.275
28866,496.935
27842,419.035
28354,140.721
29122,217.159
28962,457.707
28834,747.334
28322,1378.08
29090,507.126
28066,278.822
28578,373.42
28770,108.83
27234,269.767
29026,308.84
28002,238.228
27490,235.905
28386,288.674
29154,535.564
27618,434.658
29202,352.954
27154,565.945
28178,238.031
28946,128.724
27410,145.623
27794,172.845
27282,1173.08
29074,213.795
28562,733.795
27218,479.462
29010,285.095
27474,234.152
28882,310.612
28114,292.77
28626,133.401
28722,528.48
27698,261.396
28978,193.963
27442,191.666
28466,65.5802
28850,68.6954
27314,5.50918
29106,107.08
28082,253.713
28594,158.073
28786,96.2521
27762,458.777
28274,222.816
28018,149.115
27506,175.447
28530,342.382
28914,1295.54
29170,287.775
27122,181.197
28658,174.35
29194,199.211
27146,467.823
28938,1445.41
28426,66.2481
28810,501.406
27786,594
28042,261.314
27722,130.233
29002,355.947
27466,96.0577
28490,538.973
28874,70.083
27850,398.811
29130,365.615
27594,234.733
28618,1586.32
29226,261.807
28970,358.598
28458,170.655
28842,1878.77
27306,433.668
28330,157.354
29098,466.468
28074,27.1363
28778,76.7668
27242,186.247
29034,564.295
27498,535.48
28522,127.831
27882,180.437
27370,253.27
29162,775.877
28138,139.204
28698,582.273
28954,199.143
28442,104.331
27290,763.87
29082,231.601
27546,292.343
28570,321.417
28762,229.346
28250,248.153
29018,1936.46
27994,168.909
27482,390.023
28506,115.551
27354,219.536
28378,695.773
27098,192.689
27610,152.628
28634,84.2145
29242,153.357
27194,295.825
28986,258.595
27962,288.441
28858,103.61
27834,499.784
29114,203.219
28090,406.981
28794,38.8566
28410,156.247
29178,218.282
27130,203.4
27642,209.317
28678,185.805
27654,313.083
29190,379.66
28166,484.016
27910,94.2635
27398,529.053
28806,386.347
27782,168.84
29062,282.398
27526,292.923
28742,295.801
27206,409.819
28230,462.082
28998,122.758
28870,248.363
28102,264.304
28614,434.799
28838,519.727
