Label,Value
4096,290.369
3584,279.531
3840,431.858
3712,504.175
3456,1140.48
3968,611.852
3648,291.323
3392,108.829
3904,297.708
3776,1614.54
3520,306.602
3616,398.52
3872,575.625
3744,161.721
3488,477.396
4000,1212.58
3680,1175.67
3424,230.018
3936,557.441
3808,458.5
4064,420.599
3600,387.068
3856,840.261
3728,473.114
3472,1106.42
3984,259.453
3664,838.664
3408,301.316
3920,588.358
3792,1230.52
3536,360.045
4048,235.257
3632,530.466
3888,552.064
3760,710.578
3504,408.306
4016,898.995
3696,697.601
3440,311.361
3952,435.549
3824,332.648
3568,584.982
4080,625.892
3592,461.717
3720,212.527
3464,557.467
3976,1050.95
3656,361.224
3400,283.415
3912,607.875
3784,174.792
3528,203.6
4040,1204.62
3624,304.449
3880,314.598
3752,498.157
3496,729.358
4008,1016.88
3688,551.703
3432,241.451
3944,548.469
3816,577.208
3560,365.514
4072,769.353
3608,185.682
3864,302.625
3736,332.48
3480,400.036
3992,158.626
3672,544.834
3416,503.966
3928,305.953
3800,672.473
3544,296.034
4056,584.398
3640,305.035
3896,442.687
3768,502.356
3512,217.161
4024,462.932
3704,185.253
3960,387.287
3832,762.763
3576,217.358
4088,385.321
4100,330.83
3588,402.805
3844,366.97
3716,570.572
3460,1088.43
3972,313.498
3652,415.228
3908,297.287
3780,737.273
3524,267.132
3620,512.523
3876,513.825
3748,467.599
3492,606.383
4004,246.214
3684,1386.82
3428,1013.3
3940,223.38
3812,351.017
4068,1223.01
3604,167.482
3860,271.24
3732,69.2434
3476,481.673
3988,116.272
3668,536.283
3412,767.88
3924,594.707
3796,244.049
3540,208.717
4052,112.828
3636,144.907
3892,580.115
3764,605.446
3508,317.732
4020,276.09
3700,585.978
3956,254.633
3828,407.861
3572,81.366
4084,157.572
3596,219.79
3852,485.327
3724,288.686
3468,1094.24
3980,1297.5
3660,589.286
3404,656.388
3916,328.339
3788,505.748
3532,164.154
4044,329.848
3628,808.121
3884,391.426
3756,539.802
3500,210.439
4012,431.073
3692,866.908
3436,277.943
3948,124.733
3820,440.453
3564,480.345
4076,1610.79
3612,201.563
3868,572.139
3740,306.45
3484,237.753
3996,769.38
3676,1937.26
3420,113.488
3932,198.838
3804,489.73
3548,208.351
4060,1458.44
3644,231.561
3388,358.369
3900,317.089
3772,1137.83
3516,385.202
4028,500.095
3708,277.511
3452,808.993
3964,237.831
3836,780.587
3580,244.281
4092,476.529
4098,465.993
3586,695.59
3842,300.251
3714,544.972
3458,1235.49
3970,673.921
3650,731.871
3394,2090.48
3906,273.482
3778,1015.57
3522,489.829
4034,476.463
3618,446.801
3874,368.637
3746,265.699
3490,311.058
4002,702.179
3682,1422.3
3426,714.419
3938,215.445
3810,853.565
3554,227.139
4066,776.954
3602,341.549
3858,760.881
3730,116.26
3474,815.307
3986,664.514
3666,1041.87
3410,89.6399
3922,502.174
3794,542.459
3538,296.3
4050,520.927
3634,311.778
3890,406.5
3762,528.284
3506,377.032
4018,224.421
3698,709.205
3442,380.652
3954,551.273
3826,193.73
3570,657.155
4082,374.294
3594,540.433
3850,1002.21
3722,533.361
3466,824.48
3658,713.593
3402,472.05
3914,494.21
3786,659.983
3530,154.579
3882,425.62
3754,317.542
3498,334.336
4010,600.078
3690,383.529
3434,58.1491
3946,463.086
3818,657.668
3562,416.265
4074,1483.23
3610,74.957
3866,703.676
3738,258.538
3482,353.249
3994,97.5897
3674,960.336
3418,134.498
3930,611.853
3802,937.708
3546,346.794
4058,960.916
3642,981.317
3386,595.643
3898,202.991
3770,1134.02
3514,396.523
4026,253.715
3706,246.508
3450,1125.69
3962,488.551
3834,473.379
3578,352.446
3590,300.089
3846,962.478
3718,229.889
3462,510.595
3974,680.867
3654,219.598
3398,761.206
3910,441.131
3782,291.193
3526,329.016
4038,258.453
3622,466.338
3878,272.313
3750,308.766
3494,973.016
4006,465.215
3430,203.231
3942,315.036
3814,403.071
3558,542.642
4070,1332.43
3606,203.441
3862,184.454
3734,105.129
3478,535.125
3990,165.114
3670,299.298
3414,259.595
3926,540.295
3798,1037
3542,158.561
4054,1065.02
3638,1172.7
3894,189.687
3766,586.21
3510,422.761
4022,792.035
3702,396.923
3446,1237.4
3958,458.344
3574,292.518
3598,178.885
3854,87.9732
3470,674.412
3982,1075.64
3662,828.745
3918,1252.79
3790,766.54
3534,546.761
4046,755.771
3630,1595.6
3886,746.189
3758,456.573
3502,364.752
4014,392.386
3694,556.194
3438,838.103
3950,481.919
3822,556.559
4078,640.934
3614,324.543
3870,612.411
3742,116.717
3486,390.01
3998,669.89
3678,1846.39
3422,471.274
3934,259.584
3806,145.476
3550,256.162
4062,638.731
3646,192.122
3390,974.039
3902,278.09
3518,334.237
4030,360.261
3710,641.486
3454,1305.39
3966,460.942
3838,570.549
3582,624.471
4094,290.291
4097,439.123
3585,288.654
3841,227.267
3713,532.644
3457,1270.62
3969,247.272
3649,306.425
3905,456.809
3777,1336.55
3521,251.188
4033,331.082
3617,462.735
3873,618.281
3745,315.571
3489,480.987
4001,1023.01
3681,772.623
3425,199.317
3937,428.103
3809,238.244
3553,225.286
4065,590.26
3601,221.438
3857,221.572
3729,166.334
3473,442.326
3985,866.567
3665,552.479
3409,232.524
3921,382.24
3793,461.59
3537,211.396
4049,509.44
3633,740.305
3889,608.019
3761,465.407
3505,239.855
4017,727.018
3697,406.409
3441,189.479
3825,587.453
3569,729.813
4081,246.943
3593,395.784
3849,370.321
3721,589.904
3465,1179.04
3657,708.758
3401,317.553
3913,620.392
3785,146.399
4041,870.218
3625,311.244
3881,186.198
3753,385.366
3497,612.055
4009,495.681
3689,892.695
3433,156.106
3945,367.796
3817,230.28
4073,1462.84
3609,118.864
3865,926.213
3737,244.612
3481,512.064
3993,293.101
3673,1563.06
3417,521.57
3929,911.769
3801,396.072
3545,346.567
4057,176.689
3641,871.597
3897,260.606
3769,884.565
3513,150.52
4025,320.509
3705,87.1645
3961,377.643
3833,927.066
3577,76.6353
3589,487.252
3845,686.645
3717,173.35
3461,832.659
3973,361.544
3653,105.319
3397,1292.85
3909,305.608
3781,1026.67
3525,408.231
4037,454.507
3621,369.341
3877,492.016
3749,358.334
3493,470.961
4005,356.952
3685,427.697
3429,337.472
3941,247.161
3813,192.154
4069,885.695
3605,703.372
3861,1260.63
3733,146.646
3477,468.695
3989,323.548
3669,68.2094
3413,345.609
3925,631.376
3797,516.229
3541,170.416
4053,1035
3637,1132.38
3893,511.861
3765,787.426
3509,246.84
4021,844.116
3701,754.111
3445,294.904
3957,218.597
3829,187.002
3573,218.032
4085,149.844
3597,167.138
3853,298.984
3725,242.75
3469,569.059
3981,921.779
3661,221.431
3405,763.79
3917,1017.19
3789,584.529
3533,197.987
4045,519.695
3629,696.852
3885,456.33
3757,661.741
3501,305.417
4013,303.952
3693,1189.06
3437,726.945
3949,311.033
3821,783.533
3565,636.741
4077,421.237
3613,483.411
3869,482.844
3485,213.05
3997,361.323
3677,1663.47
3421,188.37
3933,148.255
3805,164.789
3549,177.398
4061,1248.48
3645,85.4233
3389,625.596
3901,359.617
3773,1656.62
3517,287.413
4029,450.557
3709,511.862
3453,1115.38
3965,266.667
3837,618.645
3581,742.587
4093,255.766
4099,407.364
3587,531.657
3843,274.15
3715,581.398
3459,560.625
3971,359.808
3651,621.292
3395,678.429
3907,365.56
3779,467.08
3523,257.524
3619,407.588
3875,655.925
3747,474.424
3491,271.603
4003,359.825
3683,1068.11
3427,200.032
3939,341.124
3811,226.784
3555,230.523
3603,270.918
3859,330.107
3731,115.975
3475,828.148
3987,326.548
3667,422.029
3411,848.345
3923,987.102
3795,826.815
3539,351.258
4051,1242.66
3635,144.452
3891,332.962
3763,334.861
3507,604.671
4019,279.429
3699,481.721
3443,305.428
3955,542.732
3827,936.651
3571,541.963
4083,105.791
3595,447.9
3851,268.133
3723,449.657
3467,943.429
3979,494.556
3659,723.593
3403,323.024
3915,484.131
3787,204.506
3531,146.89
4043,342.96
3627,1140.21
3883,364.867
3499,392.508
4011,1137.11
3691,332.079
3435,199.833
3947,443.327
3819,492.938
3563,303.59
4075,1220.88
3611,184.124
3867,815.391
3483,418.123
3995,254.426
3675,1153.01
3419,149.941
3931,345.619
3803,594.896
3547,320.733
4059,868.4
3643,776.575
3387,292.61
3899,192.068
3771,612.731
3515,416.367
4027,394.797
3707,283.141
3451,878.851
3963,548.575
3835,404.01
3579,251.068
4091,617.081
3591,258.297
3719,143.417
3463,522.612
3975,892.227
3655,343.063
3399,841.494
3911,347.001
3527,221.162
4039,348.912
3623,539.427
3879,465.377
3751,495.621
3495,1037.79
4007,333.008
3687,1046.04
3431,95.4418
3943,302.525
3815,592.084
3559,186.088
4071,632.159
3607,289.464
3863,192.267
3735,239.87
3479,333.5
3991,772.073
3671,304.667
3415,394.258
3799,392.087
3543,268.713
4055,749.22
3639,780.618
3895,222.368
3767,516.797
3511,224.199
4023,408.528
3703,149.538
3959,276.693
3831,728.783
3575,371.148
4087,474.882
3599,414.784
3855,274.983
3727,342.442
3471,464.957
3983,480.643
3663,1313.77
3407,246.666
3919,760.836
3791,656.066
3535,399.292
4047,441.171
3631,690.309
3887,967.219
3759,457.122
3503,484.378
4015,1503.58
3695,622.869
3439,97.9011
3951,235.317
3823,587.46
3567,852.17
4079,720.48
3615,315.955
3871,541.094
3743,208.153
3487,390.203
3679,782.574
3423,333.305
3935,516.851
3807,252.312
3551,190.021
4063,1250.38
3647,158.997
3391,607.796
3903,358.891
3775,1503.7
3519,351.033
4031,445.3
3711,566.438
3455,1523.16
3839,544.04
3583,819.368
4095,252.191
