Label,Value
14336,71.1568
13824,130.346
14592,110.361
13568,281.014
14080,170.42
14464,146.875
13696,225.426
14208,489.858
14400,138.151
13376,313.443
14144,57.5771
14528,202.578
13504,285.465
14016,264.563
14272,227.026
14368,226.366
13344,170.298
13856,226.558
14624,218.443
13600,169.638
14112,202.373
14496,216.486
13728,160.22
14240,135.719
14432,168.098
13408,206.078
13920,301.823
13664,186.547
14176,237.784
14560,102.129
14048,192.94
13792,251.67
14304,259.709
14352,294.919
13328,232.822
13840,285.08
14608,166.451
13584,481.151
14096,380.287
14480,67.6945
13456,174.803
13712,140.426
14416,206.534
13904,169.65
14544,497.684
14032,418.223
14288,255.873
14384,93.2809
13872,188.15
14640,376.96
14128,229.975
13488,161.496
14256,470.968
14448,216.79
13424,194.075
13936,407.205
13680,169.543
14192,185.561
14576,191.839
14064,185.105
13808,139.939
13296,89.1656
14320,163.138
14344,298.667
13320,242.087
13832,314.807
14600,225.925
13576,175.18
14472,133.84
13448,302.234
13960,246.614
14408,147.776
14152,121.509
14536,287.568
14024,195.22
14280,158.663
14376,163.181
13864,277.902
13608,175.64
14120,324.82
14504,175.072
13480,284.928
14248,193.815
14440,159.375
13416,286.624
13928,235.701
13672,316.515
14184,98.5091
14056,192.615
13800,112.13
14312,325.644
14360,226.584
13336,221.162
13848,248.96
14616,204.961
13592,102.114
14104,124.724
14488,202.974
13464,188.21
13720,187.444
14232,285.471
14424,335.202
13400,236.875
13912,430.581
13656,121.977
14168,169.153
14552,70.6915
13528,266.981
14040,323.136
13784,270.695
14296,293.092
14392,165.002
13368,214.79
13880,144.927
14648,193.421
13624,365.504
14136,213.505
13496,171.681
14008,302.623
14264,95.6446
14456,114.396
13432,329.284
13944,211.627
13688,110.226
14200,333.801
13560,265.819
14072,242.819
13816,179.395
14328,139.202
14340,126.094
13316,139.631
13828,275.981
14596,121.799
14468,239.734
13444,213.943
13956,167.835
14212,501.327
14404,149.031
14148,676.876
14532,332.551
13508,170.139
14020,188.248
13764,132.082
14276,450.79
14372,162.479
13348,332.095
13860,175.154
14628,106.554
13604,225.185
14116,219.433
14500,202.459
13988,278.188
14244,198.767
14436,143.42
13412,152.914
13924,587.059
14180,169.637
14564,223.585
13796,137.12
14308,175.617
14356,136.949
13332,112.93
14612,203.174
13588,426.114
14484,118.024
13460,203.173
14228,566.053
14420,139.765
13396,160.559
14164,252.912
14548,520.238
13524,226.639
14036,262.338
13780,338.684
14292,360.208
14388,163.44
13364,217.969
13876,245.752
14644,153.835
13620,194.682
14132,495.387
14516,223.054
13492,220.132
14260,126.668
14452,111.141
13428,253.241
14580,213.481
13556,318.187
14068,209.204
13300,239.479
14324,244.063
14348,260.257
13324,406.794
14604,171.639
13580,111.383
14092,300.135
14476,142.789
13452,312.827
13708,291.169
14220,178.601
14412,82.2229
13900,471.173
14156,161.966
14540,380.387
13516,295.934
14284,453.533
14380,101.23
13868,511.807
14636,32.6434
14508,195.738
13996,276.551
13740,315.726
14252,235.09
14444,163.303
13676,255.557
14188,124.524
14572,215.53
13548,353.954
14060,126.858
13804,132.784
13292,242.04
13852,82.5727
14620,213.494
13596,111.312
14108,278.795
13468,427.863
13980,259.474
13724,137.192
14236,199.332
14428,275.106
13404,184.369
14172,224.361
14556,374.333
13532,175.464
14044,228.336
13788,169.09
14300,134.247
14396,590.086
13884,182.492
13628,147.509
14140,420.818
14012,142.34
13756,226.773
14268,373.839
14460,141.617
13436,173.358
13692,529.431
14204,428.908
14588,171.379
13820,323.581
13308,156.558
14332,231.263
14338,196.711
13314,239.43
13826,322.149
14594,309.749
13570,248.395
14082,151.648
14466,190.44
13442,341.032
13954,258.745
13698,210.067
14210,294.655
14402,236.87
13890,121.411
13634,119.15
14146,468.532
14530,185.352
13506,160.999
14018,228.155
13762,73.8682
14274,407.963
14370,165.112
13346,239.763
13858,168.247
14626,216.501
13602,480.675
14114,205.843
14498,126.691
13474,259.967
13986,226.054
14434,203.521
13410,249.336
13922,125.457
