Label,Value
3840,405.453
3712,159.03
3456,138.611
3648,238.029
3616,207.218
3744,118.748
3488,192.032
3680,194.966
3424,108.886
3808,56.4003
3552,151.88
3856,82.1302
3728,124.338
3472,148.253
3408,217.278
3792,80.101
3536,200.007
3632,107.595
3376,120.889
3888,18.0557
3760,345.723
3504,221.238
3824,146.336
3568,122.195
3848,78.6769
3720,144.071
3464,243.747
3400,145.47
3784,17.5498
3528,140.512
3752,163.594
3496,182.031
3688,157.628
3816,258.566
3608,213.152
3864,267.258
3736,89.8093
3544,206.097
3640,187.832
3384,109.433
3768,144.384
3832,143.234
3588,118.357
3460,296.969
3652,166.157
3780,193.551
3524,86.8007
3620,63.4161
3364,158.878
3748,107.512
3492,246.796
3684,176.84
3428,151.928
3860,188.065
3732,57.9371
3476,177.999
3668,323.452
3412,46.3202
3796,72.2059
3540,178.919
3636,206.908
3508,303.354
3444,121.31
3596,101.77
3852,125.1
3724,129.195
3404,181.484
3788,226.032
3532,238.363
3372,155.296
3884,86.623
3756,151.905
3500,207.716
3436,174.076
3820,182.549
3612,195.887
3356,113.027
3484,113.053
3676,182.768
3420,137.033
3548,189.205
3772,104.741
3516,141.716
3708,130.882
3836,19.8833
3580,171.489
3586,130.004
3650,169.464
3778,121.019
3362,294.018
3746,105.484
3490,182.908
3426,73.6404
3810,55.167
3554,166.825
3602,164.828
3858,128.986
3730,257.347
3474,141.046
3410,217.689
3794,90.4475
3634,90.2432
3378,116.426
3890,85.4158
3762,137.72
3698,141.687
3570,163.301
3850,316.53
3722,74.2826
3402,165.618
3786,172.013
3530,345.72
3370,95.4383
3754,152.538
3690,123.591
3434,131.941
3818,92.7974
3354,211.154
3866,191.26
3482,198.171
3802,96.7276
3642,293.455
3514,309.039
3450,147.384
3834,60.0428
3578,109.909
3590,157.09
3846,30.1559
3718,85.5849
3462,185.692
3654,241.229
3398,94.4343
3366,118.683
3750,176.51
3494,159.675
3686,74.3369
3814,264.879
3558,132.309
3606,137.846
3862,168.195
3734,88.2016
3414,232.246
3798,114.943
3542,267.135
3638,160.869
3382,185.261
3766,189.57
3446,79.781
3830,149.874
3598,133.184
3854,141.477
3470,157.714
3662,220.053
3790,167.757
3630,170.855
3374,171.888
3886,72.764
3758,157.059
3502,351.444
3438,157.255
3822,88.7082
3358,151.522
3870,152.925
3742,213.065
3486,171.73
3678,152.764
3806,280.986
3550,169.6
3518,221.655
3454,183.722
3838,114.668
3582,124.104
3585,135.94
3457,270.271
3649,208.59
3777,129.635
3521,96.8386
3361,170.875
3873,264.574
3745,130.952
3681,103.108
3425,122.723
3809,115.893
3601,58.5305
3857,180.2
3793,81.3218
3537,307.924
3633,72.3478
3377,154.542
3761,176.922
3505,247.525
3697,219.95
3441,258.091
3825,183.557
3849,29.196
3721,127.123
3465,189.724
3785,147.848
3529,223.057
3625,151.013
3369,128.214
3497,125.649
3689,291.312
3817,122.379
3417,217.44
3801,125.024
3545,105.235
3641,115.857
3385,218.466
3769,133.012
3705,136.979
3449,159.781
3833,76.6729
3577,96.7254
3589,194.943
3845,60.3112
3717,270.196
3461,166.089
3397,115.245
3621,114.706
3877,246.712
3493,113.793
3813,384.421
3557,203.663
3349,185.268
3861,107.435
3733,114.726
3477,132.988
3413,29.6765
3797,103.176
3541,172.882
3637,241.856
3381,175.451
3893,133.535
3765,111.127
3509,227.575
3701,136.029
3573,135.45
3597,128.496
3853,165.901
3725,195.137
3789,149.878
3533,119.438
3629,234.245
3373,296.458
3885,38.87
3757,58.8885
3501,246.807
3693,283.419
3437,150.823
3821,163.544
3565,144.912
3613,201.758
3869,126.087
3741,327.165
3485,212.316
3677,144.137
3421,166.412
3805,109.086
3549,123.719
3773,151.376
3517,152.227
3837,69.8872
3581,152.468
3587,214.981
3843,135.522
3459,98.8796
3651,192.395
3779,126.973
3619,173.45
3363,196.727
3875,197.429
3747,109.143
3683,205.442
3427,117.387
3555,216.239
3603,156.891
3859,167.185
3731,157.907
3411,77.1948
3795,132.992
3635,178.733
3763,225.933
3699,30.3836
3443,132.328
3827,159.982
3571,260.988
3595,190.125
3723,182.778
3659,222.43
3787,239.394
3531,147.817
3627,284.611
3371,56.823
3883,260.233
3499,191.21
3691,145.119
3819,156.203
3563,184.484
3611,283.632
3355,160.323
3739,242.111
3483,135.202
3419,167.732
3387,179.603
3771,338.016
3707,174.297
3451,184.025
3579,77.6575
3591,115.124
3847,101.742
3463,109.094
3655,178.572
3783,165.928
3527,252.47
3623,78.65
3367,188.73
3879,227.746
3495,242.73
3559,153.705
3607,135.232
3735,190.947
3479,147.25
3799,233.85
3639,192.646
3895,131.868
3767,157.748
3447,179.073
3831,99.8279
3599,268.381
3855,193.53
3471,309.495
3407,259.004
3791,134.587
3631,238.203
3375,185.869
3887,134.972
3759,164.585
3695,259.211
3823,109.821
3567,143.581
3359,228.671
3871,284.709
3743,141.773
3487,239.874
3679,175.043
3807,47.5931
3551,116.218
3647,166.959
3391,158.725
3519,177.38
3711,165.573
3455,131.821
3839,141.404
